college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
University of Pittsburgh at Greensburg,"Greensburg, PA",4-year,Public,Small,Suburban,39%,$18K,510-600
University of North Carolina at Pembroke,"Pembroke, NC",4-year,Public,Medium,Rural,45%,$8K,910-1130
Christian Brothers University,"Memphis, TN",4-year,Private,Small,Urban,60%,$19K,515-640
California State University: Sacramento,"Sacramento, CA",4-year,Public,Very Large,Urban,54%,$12K,880-1100
University of North Carolina at Charlotte,"Charlotte, NC",4-year,Public,Very Large,Urban,70%,$14K,665-1310
Saint Peter's University,"Jersey City, NJ",4-year,Private,Small,Urban,60%,$12K,923-1148
Saint Petersburg College,"St Petersburg, FL",4-year,Public,Very Large,Suburban,Unknown,$2K,Unknown
University of Washington Bothell,"Bothell, WA",4-year,Public,Medium,Suburban,69%,$9K,1100-1390
University of Wisconsin-Whitewater,"Whitewater, WI",4-year,Public,Large,Suburban,62%,$13K,920-1130
Concord University,"Athens, WV",4-year,Public,Small,Rural,40%,$8K,850-1090
University of Mississippi,"University, MS",4-year,Public,Very Large,Rural,68%,$14K,1000-1200
University of the Virgin Islands,"St Thomas, VI",4-year,Public,Small,Suburban,26%,$9K,810-1033
Ozark Christian College,"Joplin, MO",4-year,Private,Small,Urban,51%,$18K,720-1060
University of Maine at Presque Isle,"Presque Isle, ME",4-year,Public,Small,Rural,20%,$9K,840-1140
Eastern New Mexico University,"Portales, NM",4-year,Public,Medium,Rural,36%,$9K,860-1050
Central State University,"Wilberforce, OH",4-year,Public,Medium,Rural,25%,$10K,770-950
Yeshivat Hechal Shemuel,"Brooklyn, NY",4-year,Private,Unknown,Urban,100%,$10K,Unknown
North Iowa Area Community College,"Mason City, IA",2-year,Public,Small,Rural,Unknown,$6K,Unknown
University of Wyoming,"Laramie, WY",4-year,Public,Medium,Suburban,61%,$13K,1035-1260
Eastern Washington University,"Cheney, WA",4-year,Public,Large,Suburban,50%,$13K,910-1130
University of Northern Iowa,"Cedar Falls, IA",4-year,Public,Medium,Suburban,64%,$16K,880-1200
University Of Texas Rio Grande Valley,"Edinburg, TX",4-year,Public,Very Large,Suburban,53%,$8K,920-1100
Southern Illinois University Edwardsville,"Edwardsville, IL",4-year,Public,Large,Suburban,52%,$14K,940-1160
Black Hawk College,"Moline, IL",2-year,Public,Small,Urban,Unknown,$5K,Unknown
Western Kentucky University,"Bowling Green, KY",4-year,Public,Large,Suburban,54%,$13K,940-1130
Southern West Virginia Community and Technical College,"Mount Gay, WV",2-year,Public,Small,Rural,Unknown,$6K,Unknown
Shepherd University,"Shepherdstown, WV",4-year,Public,Small,Rural,48%,$12K,960-1160
Antelope Valley College,"Lancaster, CA",4-year,Public,Unknown,Suburban,100%,$4K,Unknown
University of Maine at Fort Kent,"Fort Kent, ME",4-year,Public,Small,Rural,33%,$12K,890-1096
Fayetteville State University,"Fayetteville, NC",4-year,Public,Medium,Urban,44%,$6K,868-1025
Monroe County Community College,"Monroe, MI",2-year,Public,Small,Rural,Unknown,$5K,Unknown
Texas Woman's University,"Denton, TX",4-year,Public,Large,Suburban,48%,$12K,960-1150
Montclair State University,"Montclair, NJ",4-year,Public,Very Large,Suburban,65%,$14K,920-1220
Colorado State University: Pueblo,"Pueblo, CO",4-year,Public,Medium,Suburban,35%,$13K,900-1120
Murray State University,"Murray, KY",4-year,Public,Medium,Rural,62%,$11K,980-1170
Texas A&M University-Kingsville,"Kingsville, TX",4-year,Public,Medium,Rural,44%,$11K,890-1080
Highland Community College,"Freeport, IL",2-year,Public,Small,Rural,Unknown,$6K,Unknown
Commonwealth University Of Pennsylvania Mansfield,"Mansfield, PA",4-year,Public,Small,Rural,54%,$13K,950-1110
California State University: Bakersfield,"Bakersfield, CA",4-year,Public,Medium,Suburban,50%,$8K,1010-1160
Indiana University Kokomo,"Kokomo, IN",4-year,Public,Small,Suburban,41%,$7K,970-1170
University of Maine at Farmington,"Farmington, ME",4-year,Public,Small,Rural,53%,$14K,975-1205
Kentucky State University,"Frankfort, KY",4-year,Public,Small,Urban,33%,$11K,838-1040
Appalachian State University,"Boone, NC",4-year,Public,Very Large,Rural,75%,$13K,1100-1270
Idaho State University,"Pocatello, ID",4-year,Public,Medium,Urban,34%,$12K,890-1140
Texas A&M University-Texarkana,"Texarkana, TX",4-year,Public,Small,Suburban,30%,$11K,930-1100
Delta State University,"Cleveland, MS",4-year,Public,Small,Rural,46%,$14K,970-1160
Indiana State University,"Terre Haute, IN",4-year,Public,Medium,Suburban,44%,$13K,880-1100
Trinity Christian College,"Palos Heights, IL",4-year,Private,Small,Suburban,69%,$19K,450-550
Odessa College,"Odessa, TX",2-year,Public,Medium,Rural,Unknown,$10K,Unknown
Kean University,"Union, NJ",4-year,Public,Large,Urban,51%,$11K,910-1150
St. Catherine University,"Saint Paul, MN",4-year,Private,Small,Urban,64%,$20K,808-823
Bethune-Cookman University,"Daytona Beach, FL",4-year,Private,Small,Urban,35%,$16K,830-1000
Sam Houston State University,"Huntsville, TX",4-year,Public,Very Large,Suburban,56%,$14K,940-1120
Northwestern State University Of Louisiana,"Natchitoches, LA",4-year,Public,Medium,Suburban,47%,$14K,870-1150
Oakland University,"Rochester, MI",4-year,Public,Large,Suburban,58%,$15K,900-1150
Austin Peay State University,"Clarksville, TN",4-year,Public,Medium,Urban,42%,$16K,828-1107
California State University: Chico,"Chico, CA",4-year,Public,Large,Rural,64%,$16K,990-1293
Missouri Southern State University,"Joplin, MO",4-year,Public,Medium,Rural,34%,$10K,1030-1150
Appalachian Bible College,"Mount Hope, WV",4-year,Private,Small,Rural,52%,$15K,1035-1177
Adams State University,"Alamosa, CO",4-year,Public,Small,Rural,33%,$13K,935-1105
Avila University,"Kansas City, MO",4-year,Private,Small,Suburban,51%,$17K,800-1020
West Virginia University,"Morgantown, WV",4-year,Public,Unknown,Suburban,61%,$12K,1040-1230
Troy University,"Troy, AL",4-year,Public,Large,Rural,45%,$13K,940-1150
Texas Southern University,"Houston, TX",4-year,Public,Medium,Urban,26%,$12K,820-980
University of Saint Francis,"Fort Wayne, IN",4-year,Private,Small,Urban,55%,$18K,880-1070
