College Name,Address,Year,Organization Type,Size,Area,Graduation Rate,Financial Aid,SAT Score,Net Price,Majors,Rank,Logo URL,Logo2 URL,University URL,country
Haaga-Helia University Of Applied Sciences,"Helsinki, Finland",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Finland
American College Of The Mediterranean,"Aix-en-Provence, France",Unknown,Public,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,France
Sciences PO,"Paris, France",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,France
American University of Paris,"Paris, France",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,France
Paris College of Art,"Paris, France",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,France
SciencesPo,"75337 Paris Cedex 07, France",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,France
Bard College Berlin,"Berlin, Germany",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Germany
Carl Benz School Mechanical Engineering College KIT,"Karlsruhe, Germany",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Germany
Frankfurt School Of Finance And Management GMBH,"Frankfurt am Main, Germany",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Germany
Jacobs University Bremen,"Bremen, Germany",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Germany
Whu-Otto Beisheim School of Management,"Vallendar, Germany",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Germany
"Deree College, The American College of Greece","Athens, Greece",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Greece
Universidad del Valle de Guatemala,"Guatemala City, Guatemala",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Guatemala
Universidad Francisco Marroquin,"Guatemala, Guatemala",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Guatemala
Texila American University,"Georgetown, Guyana",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Guyana
Universidad Catolica De Honduras,"Tegucigalpa, Honduras",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Honduras
City University Of Hong Kong,"Kowloon, Hong Kong",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Hong Kong
Hong Kong Baptist University,"Kowloon, Hong Kong",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Hong Kong
Hong Kong Polytechnic University,"Kowloon, Hong Kong",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Hong Kong
The Hong Kong University Of Science And Technology,"Hong Kong, Hong Kong",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Hong Kong
University of Hong Kong,"Hong Kong, Hong Kong",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Hong Kong
Krea University,"Sri City, India",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,India
Shiv Nadar University,"Gautam Buddha Nagar, India",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,India
Manipal University Jaipur,"Jaipur, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,India
Ahmedabad University,"Ahmedabad, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,India
Anant National University Sanskardham Campus,"Ahmedabad, India",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,India
Ashoka University,"Sonepat, India",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,India
Atria University,"Bangalore, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,India
Azim Premji University,"Bengaluru, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,India
Bennett University,"Greater Noida, India",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,India
FLAME University,"Pune, India",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,India
Indian School of Business and Finance,"New Delhi, India",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,India
O P Jindal Global University,"Sonipat, India",Unknown,Private,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,India
Ramaiah University Of Applied Sciences,"Bangalore, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,India
S P Jain School of Global Management,"Mumbai, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,India
Sharda University,"Greater Noida, India",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,India
Srishti Manipal Institute Of Art Design And Technology,"Bengaluru, India",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,India
SRM Institute Of Science And Technology,"Chennai, India",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,India
SRM University Delhi-NCR Sonepat,"Sonepat, India",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,India
Vellore Institute Of Technology University,"Vellore, India",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,India
World University Of Design,"Rai, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,India
American College Dublin,"Dublin, Ireland",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Ireland
National University Of Ireland - Maynooth,"Maynooth, Ireland",Unknown,Private,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Ireland
University College Dublin International,"Dublin, Ireland",Unknown,Private,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Ireland
Raphael Recanati International School,"Herzliya, Israel",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Israel
Technion,"Haifa, Israel",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Israel
Tel Aviv University,"Tel Aviv, Israel",Unknown,Public,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Israel
John Cabot University,"Rome, Italy",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,—,,,https://logo.clearbit.com/www.johncabot.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.johncabot.edu/,https://www.johncabot.edu/,Italy
Bocconi University,"Milan, Italy",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Italy
American University of Rome,"Rome, Italy",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Italy
Florence Institute Of Design International,"Firenze, Italy",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Italy
Politecnico Di Torino,"Torino, Italy",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Italy
University Of Bologna,"Bologna, Italy",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Italy
Northern Caribbean University,"Mandeville, Jamaica",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Jamaica
Sophia University,"Tokyo, Japan",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Japan
International Christian University,"Tokyo, Japan",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Japan
Keio University,"Tokyo, Japan",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Japan
Nagoya University,"Nagoya, Japan",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Japan
Ritsumeikan Asia Pacific University,"Beppu, Japan",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Japan
Temple University: Japan,"Tokyo, Japan",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Japan
Yamanashi Gakuin University,"Kofu, Japan",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Japan
American University of Kuwait,"Safat, Kuwait",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Kuwait
Riga Business School,"Riga, Latvia",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Latvia
Lebanese American University,"Chouran-Beirut, Lebanon",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Lebanon
American University of Beirut,"Beirut, Lebanon",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Lebanon
American University of Technology: Lebanon,"Fidar, Lebanon",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Lebanon
Arts Science & Technology University in Lebanon,"Beirut, Lebanon",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Lebanon
Notre Dame University: Louaize,"Zouk Mosbeh, Lebanon",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Lebanon
Rafik Hariri University,"Chouf, Lebanon",Unknown,Unknown,Unknown,Rural,Unknown,Unknown,Unknown,,,,,,,Lebanon
University of Balamand,"Al Kurah, Lebanon",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Lebanon
