College Name,Address,Year,Organization Type,Size,Area,Graduation Rate,Financial Aid,SAT Score,Net Price,Majors,Rank,Logo URL,Logo2 URL,University URL,country
University of South Dakota,"Vermillion, SD",4-year,Public,Medium,Rural,57%,$18K,1150-1290,"$18,378","Accounting|American Indian/Native American Studies|Anthropology|Art Teacher Education|Art/Art Studies, General|Audiology/Audiologist|Biochemistry|Bioengineering and Biomedical Engineering|Bioethics/Medical Ethics|Biology/Biological Sciences, General|Biomedical Sciences, General|Business Administration and Management, General|Business Statistics|Chemistry, General|Clinical Laboratory Science/Medical Technology/Technologist|Clinical Psychology|Clinical/Medical Social Work|Communication Sciences and Disorders, General|Community Health Services/Liaison/Counseling|Community Health and Preventive Medicine|Computer and Information Sciences, General|Counseling Psychology|Criminal Justice/Safety Studies|Curriculum and Instruction|Dental Hygiene/Hygienist|Drama and Dramatics/Theater Arts, General|Economics, General|Educational Leadership and Administration, General|Educational/Instructional Technology|Elementary Education and Teaching|English Language and Literature, General|Entrepreneurship/Entrepreneurial Studies|Ethics|Exercise Science and Kinesiology|Finance, General|Forensic Anthropology|French Language and Literature|General Studies|Graphic Design|Health Services/Allied Health/Health Sciences, General|History, General|Hospital and Health Care Facilities Administration/Management|Human Resources Management/Personnel Administration, General|Human Services, General|International/Globalization Studies|Law|Legal Studies|Management Sciences and Quantitative Methods, Other|Marketing/Marketing Management, General|Mass Communication/Media Studies|Materials Chemistry|Mathematics, General|Medical Science/Scientist|Medicine|Multi-/Interdisciplinary Studies, General|Museology/Museum Studies|Music Performance, General|Music Teacher Education|Music, General|Neuroscience|Non-Profit/Public/Organizational Management|Occupational Therapy/Therapist|Organizational Leadership|Philosophy|Physical Therapy/Therapist|Physician Assistant|Physics, General|Political Science and Government, General|Professional, Technical, Business, and Scientific Writing|Psychology, General|Public Administration|Registered Nursing/Registered Nurse|Research and Development Management|Secondary Education and Teaching|Small Business Administration/Management|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Substance Abuse/Addiction Counseling|Sustainability Studies",304,https://logo.clearbit.com/usd.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://usd.edu/,https://usd.edu/,United States
Niagara University,"Niagara University, NY",4-year,Private,Small,Suburban,72%,$18K,1075-1220,"$18,165","Accounting|Actuarial Science|Applied Behavior Analysis|Art History, Criticism and Conservation|Biochemistry|Biological and Biomedical Sciences, Other|Biology Teacher Education|Biology/Biological Sciences, General|Business Administration and Management, General|Business and Innovation/Entrepreneurship Teacher Education|Business/Commerce, General|Business/Managerial Economics|Chemistry Teacher Education|Chemistry, General|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Counselor Education/School Counseling and Guidance Services|Criminology|Drama and Dance Teacher Education|Drama and Dramatics/Theater Arts, General|Economics, General|Education, General|Education/Teaching of Individuals in Elementary Special Education Programs|Education/Teaching of Individuals in Secondary Special Education Programs|Educational Administration and Supervision, Other|Elementary Education and Teaching|English Language and Literature, General|English/Language Arts Teacher Education|Environmental Science|Financial Planning and Services|French Language Teacher Education|French Language and Literature|Gerontology|History, General|Hotel, Motel, and Restaurant Management|Human Development and Family Studies, General|International Relations and Affairs|International and Comparative Education|Liberal Arts and Sciences/Liberal Studies|Logistics, Materials, and Supply Chain Management|Marketing, Other|Marketing/Marketing Management, General|Mathematics Teacher Education|Mathematics, General|Mental and Social Health Services and Allied Professions, Other|Multi-/Interdisciplinary Studies, Other|Philosophy|Political Science and Government, General|Public Finance|Public Policy Analysis|Reading Teacher Education|Registered Nursing/Registered Nurse|Religion/Religious Studies|Research and Experimental Psychology, Other|School Psychology|Social Sciences, General|Social Studies Teacher Education|Social Work|Sociology|Spanish Language Teacher Education|Spanish Language and Literature|Speech Communication and Rhetoric|Sport and Fitness Administration/Management|Superintendency and Educational System Administration|Teacher Education and Professional Development, Specific Levels and Methods, Other|Teacher Education, Multiple Levels|Teaching English as a Second or Foreign Language/ESL Language Instructor|Tourism and Travel Services Management",623,https://logo.clearbit.com/www.niagara.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.niagara.edu/,https://www.niagara.edu/,United States
University of Wisconsin-Stout,"Menomonie, WI",4-year,Public,Medium,Rural,52%,$16K,1000-1290,,"Apparel and Textiles, General|Applied Mathematics|Art Teacher Education|Biochemistry and Molecular Biology|Business Administration and Management, General|Business, Management, Marketing, and Related Support Services, Other|Community College Administration|Computer Systems Networking and Telecommunications|Computer and Information Sciences, Other|Computer and Information Systems Security/Auditing/Information Assurance|Conservation Biology|Construction Management, General|Counselor Education/School Counseling and Guidance Services|Criminology|Design and Applied Arts, Other|Dietetics/Dietitian|Digital Arts|Early Childhood Education and Teaching|Education, General|Education/Teaching of Individuals with Autism|Electrical and Computer Engineering|Engineering Technologies/Technicians, General|Environmental Science|Family and Consumer Sciences/Home Economics Teacher Education|Fine/Studio Arts, General|Food Science|Game and Interactive Media Design|Graphic Communications, Other|Graphic Design|Health and Wellness, General|Health/Health Care Administration/Management|Hospitality Administration/Management, General|Human Development and Family Studies, General|Human Resources Development|Industrial and Organizational Psychology|Industrial and Product Design|Informatics|Interior Design|Logistics, Materials, and Supply Chain Management|Management Sciences and Quantitative Methods, Other|Manufacturing Engineering|Marriage and Family Therapy/Counseling|Mathematics Teacher Education|Mechanical Engineering|Mental Health Counseling/Counselor|Modeling, Virtual Environments and Simulation|Multi-/Interdisciplinary Studies, Other|Occupational Safety and Health Technology/Technician|Operations Management and Supervision|Organizational Leadership|Packaging Science|Photographic and Film/Video Technology/Technician|Polymer/Plastics Engineering|Professional, Technical, Business, and Scientific Writing|Psychology, General|Real Estate|Research and Development Management|Sales and Marketing Operations/Marketing and Distribution Teacher Education|Sales, Distribution, and Marketing Operations, General|School Psychology|Science Teacher Education/General Science Teacher Education|Science Technologies/Technicians, Other|Social Sciences, General|Social Work|Special Education and Teaching, General|Speech Communication and Rhetoric|Sustainability Studies|Teacher Education and Professional Development, Specific Subject Areas, Other|Technical Teacher Education|Technology Teacher Education/Industrial Arts Teacher Education|Trade and Industrial Teacher Education|Vocational Rehabilitation Counseling/Counselor",,,,,United States
Kent State University: Tuscarawas,"New Philadelphia, OH",4-year,Public,Small,Suburban,4%,$11K,760-760,,"Accounting Technology/Technician and Bookkeeping|Administrative Assistant and Secretarial Science, General|Agribusiness/Agricultural Business Operations|Business Administration and Management, General|Business/Commerce, General|CAD/CADD Drafting and/or Design Technology/Technician|Communication, General|Computer Programming, Specific Applications|Computer Support specialist|Computer and Information Systems Security/Auditing/Information Assurance|Criminal Justice/Safety Studies|Cybersecurity Defense Strategy/Policy|Data Entry/Microcomputer Applications, General|Digital Arts|Early Childhood Education and Teaching|Electrical/Electronic Engineering Technologies/Technicians, Other|Engineering Technologies/Technicians, General|English Language and Literature, General|General Studies|Industrial Technology/Technician|Kindergarten/Preschool Education and Teaching|Liberal Arts and Sciences, General Studies and Humanities, Other|Mechanical Drafting and Mechanical Drafting CAD/CADD|Mechanical/Mechanical Engineering Technology/Technician|Medical Insurance Specialist/Medical Biller|Psychology, General|Registered Nursing/Registered Nurse|Small Business Administration/Management|Social Work|Veterinary/Animal Health Technology/Technician and Veterinary Assistant",,,,,United States
Massachusetts Maritime Academy,"Buzzards Bay, MA",4-year,Public,Small,Suburban,79%,$22K,1030-1180,"$21,668","Applied Engineering|Business Administration, Management and Operations, Other|Energy Systems Engineering, General|Engineering/Industrial Management|Environmental Science|Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other|International Business/Trade/Commerce|Marine Science/Merchant Marine Officer|Naval Architecture and Marine Engineering",,https://logo.clearbit.com/www.maritime.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.maritime.edu/,https://www.maritime.edu/,United States
California State University: East Bay,"Hayward, CA",4-year,Public,Large,Suburban,46%,$11K,910-1100,,"Accounting|Anthropology|Art/Art Studies, General|Biochemistry|Biology/Biological Sciences, General|Biostatistics|Biotechnology|Business Administration and Management, General|Chemistry, General|Communication Sciences and Disorders, General|Computer Engineering, General|Computer Science|Computer Systems Networking and Telecommunications|Construction Management, General|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Curriculum and Instruction|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Econometrics and Quantitative Economics|Economics, General|Education, General|Educational Leadership and Administration, General|Educational/Instructional Technology|Engineering, General|Engineering/Industrial Management|English Language and Literature, General|Environmental Science|Environmental Studies|Ethnic, Cultural Minority, Gender, and Group Studies, Other|Fine/Studio Arts, General|French Language and Literature|Geographic Information Science and Cartography|Geography|Geological and Earth Sciences/Geosciences, Other|Geology/Earth Science, General|Health Professions and Related Clinical Sciences, Other|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|History, General|Hospitality Administration/Management, Other|Human Development and Family Studies, General|Industrial Engineering|International Relations and Affairs|International/Globalization Studies|Latin American Studies|Liberal Arts and Sciences/Liberal Studies|Management Science|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Music, General|Parks, Recreation, and Leisure Studies|Philosophy|Physics, General|Political Science and Government, General|Psychology, General|Public Administration|Public Health, General|Reading Teacher Education|Registered Nursing/Registered Nurse|Rhetoric and Composition|Science Teacher Education/General Science Teacher Education|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Statistics, General|Sustainability Studies|Taxation|Teaching English as a Second or Foreign Language/ESL Language Instructor",,,,,United States
University of Wisconsin-Eau Claire,"Eau Claire, WI",4-year,Public,Medium,Urban,65%,$15K,1130-1260,"$15,000","Accounting|Actuarial Science|African-American/Black Studies|American Indian/Native American Studies|American Sign Language (ASL)|Ancient Studies/Civilization|Anthropology|Art/Art Studies, General|Athletic Training/Trainer|Bioengineering and Biomedical Engineering|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Corporate Communications, General|Chemistry, General|Chemistry, Other|Chinese Language and Literature|Communication Management and Strategic Communications|Communication Sciences and Disorders, General|Communication, General|Community Health and Preventive Medicine|Computer and Information Sciences, General|Criminal Justice/Safety Studies|Dance, General|Data Science, General|Drama and Dramatics/Theater Arts, General|Economics, General|Elementary Education and Teaching|English Language and Literature, General|English Language and Literature/Letters, Other|Exercise Science and Kinesiology|Finance, General|French Language and Literature|Gay/Lesbian Studies|Geographic Information Science and Cartography|Geography|Geology/Earth Science, General|Germanic Languages, Literatures, and Linguistics, General|Health/Health Care Administration/Management|History, General|International Business/Trade/Commerce|Journalism|Latin American Studies|Liberal Arts and Sciences, General Studies and Humanities, Other|Liberal Arts and Sciences/Liberal Studies|Management Information Systems, General|Marketing/Marketing Management, General|Materials Engineering|Materials Science|Mathematics, General|Molecular Biology|Music Technology|Music, General|Neuroscience|Nursing Practice|Philosophy|Physics, General|Political Science and Government, General|Psychology, General|Public Health, General|Registered Nursing/Registered Nurse|Rehabilitation Science|Religion/Religious Studies|School Psychology|Science Teacher Education/General Science Teacher Education|Social Studies Teacher Education|Social Work|Sociology|Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics, Other|Spanish Language and Literature|Special Education and Teaching, General|Sustainability Studies|Teacher Education and Professional Development, Specific Levels and Methods, Other|Teaching English as a Second or Foreign Language/ESL Language Instructor|Visual and Performing Arts, Other|Women's Studies",645,https://logo.clearbit.com/www.uwec.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.uwec.edu/,https://www.uwec.edu/,United States
Cedar Crest College,"Allentown, PA",4-year,Private,Small,Suburban,62%,$24K,980-1160,"$23,500","Accounting|Accounting and Related Services, Other|Art Therapy/Therapist|Art/Art Studies, General|Biochemistry|Biology/Biological Sciences, General|Business Administration and Management, General|Chemistry, General|Community Health and Preventive Medicine|Conservation Biology|Creative Writing|Criminalistics and Criminal Science|Criminology|Critical Care Nursing|Dance, General|Dietetics/Dietitian|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Education, General|Education, Other|Elementary Education and Teaching|English Language and Literature, General|Environmental Biology|Environmental Studies|Exercise Physiology and Kinesiology|Exercise Science and Kinesiology|Family Practice Nurse/Nursing|Foods, Nutrition, and Wellness Studies, General|Forensic Science and Technology|Gerontology|Health Communication|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|History, General|Human Nutrition|Human Resources Management/Personnel Administration, General|Human/Medical Genetics|International/Globalization Studies|Liberal Arts and Sciences/Liberal Studies|Management Information Systems, General|Marketing/Marketing Management, General|Mass Communication/Media Studies|Mathematics, General|Molecular Genetics|Multi-/Interdisciplinary Studies, General|Neuroscience|Nuclear Medical Technology/Technologist|Nurse Anesthetist|Nursing Administration|Nursing Education|Organizational Leadership|Physical Sciences, Other|Political Science and Government, General|Psychology, General|Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other|Registered Nursing/Registered Nurse|Secondary Education and Teaching|Social Studies Teacher Education|Social Work|Social Work, Other|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Teacher Education, Multiple Levels|Writing, General",,https://logo.clearbit.com/www.cedarcrest.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.cedarcrest.edu/,https://www.cedarcrest.edu/,United States
Southern Illinois University Carbondale,"Carbondale, IL",4-year,Public,Medium,Rural,49%,$17K,910-1180,"$16,990","Accounting|Advanced Legal Research/Studies, General|Aeronautics/Aviation/Aerospace Science and Technology, General|African-American/Black Studies|Agricultural Economics|Agricultural Teacher Education|Agriculture, General|Agroecology and Sustainable Agriculture|Airline/Commercial/Professional Pilot and Flight Crew|American/U.S. Law/Legal Studies/Jurisprudence|Animal Sciences, General|Anthropology|Apparel and Textiles, General|Applied Horticulture/Horticultural Business Services, Other|Architecture|Art History, Criticism and Conservation|Athletic Training/Trainer|Automotive Engineering Technology/Technician|Aviation/Airway Management and Operations|Avionics Maintenance Technology/Technician|Behavioral Aspects of Health|Biochemistry|Bioengineering and Biomedical Engineering|Biology Teacher Education|Biology/Biological Sciences, General|Biomedical Sciences, General|Botany/Plant Biology|Business Administration and Management, General|Business/Managerial Economics|Chemistry, General|Cinematography and Film/Video Production|Civil Engineering, General|Civil Engineering, Other|Classics and Classical Languages, Literatures, and Linguistics, General|Commercial and Advertising Art|Communication Sciences and Disorders, General|Communication and Media Studies, Other|Community Health and Preventive Medicine|Computer Engineering, General|Computer Science|Counselor Education/School Counseling and Guidance Services|Creative Writing|Criminal Justice/Law Enforcement Administration|Criminology|Curriculum and Instruction|Dental Hygiene/Hygienist|Dental Laboratory Technology/Technician|Design and Visual Communications, General|Drama and Dramatics/Theater Arts, General|Dramatic/Theatre Arts and Stagecraft, Other|Early Childhood Education and Teaching|Econometrics and Quantitative Economics|Economics, General|Educational Leadership and Administration, General|Educational Psychology|Electrical and Electronics Engineering|Electrical, Electronic, and Communications Engineering Technology/Technician|Electrical/Electronic Engineering Technologies/Technicians, Other|Elementary Education and Teaching|Engineering Technologies/Technicians, General|Engineering, General|English Language and Literature, General|English/Language Arts Teacher Education|Environmental Studies|Environmental/Natural Resources Management and Policy, General|Exercise Science and Kinesiology|Finance, General|Fine/Studio Arts, General|Fire Services Administration|Food Science and Technology, Other|Foods, Nutrition, and Wellness Studies, General|Foreign Language Teacher Education|Foreign Languages and Literatures, General|Foreign Languages, Literatures, and Linguistics, Other|Forest Sciences and Biology|Forestry, General|French Language and Literature|Funeral Service and Mortuary Science, General|Geography|Geology/Earth Science, General|German Language and Literature|Gerontology|Health Information/Medical Records Administration/Administrator|Health Teacher Education|Health Unit Manager/Ward Supervisor|Health/Health Care Administration/Management|Higher Education/Higher Education Administration|History Teacher Education|History, General|Hospitality Administration/Management, Other|Human Development, Family Studies, and Related Services, Other|Industrial Technology/Technician|Information Science/Studies|Information Technology|Interior Design|International/Globalization Studies|Journalism|Journalism, Other|Law|Legal Assistant/Paralegal|Liberal Arts and Sciences/Liberal Studies|Linguistics|Management Science|Management Sciences and Quantitative Methods, Other|Manufacturing Engineering Technology/Technician|Marketing/Marketing Management, General|Mass Communication/Media Studies|Mathematics Teacher Education|Mathematics, General|Mechanical Engineering|Medical Radiologic Technology/Science - Radiation Therapist|Medicine|Microbiology, General|Mining and Mineral Engineering|Molecular Biochemistry|Molecular Physiology|Multi-/Interdisciplinary Studies, Other|Music, General|Nutrition Sciences|Parks, Recreation, and Leisure Studies|Pharmacology|Philosophy|Physical Education Teaching and Coaching|Physical Therapy Assistant|Physician Assistant|Physics, General|Physiology, General|Plant Sciences, General|Political Science and Government, General|Psychology, General|Public Administration|Radio and Television|Registered Nursing/Registered Nurse|Rehabilitation and Therapeutic Professions, Other|Research Methodology and Quantitative Methods|Respiratory Care Therapy/Therapist|Rhetoric and Composition|Russian Language and Literature|Social Science Teacher Education|Social Sciences, General|Social Work|Sociology|Soil Science and Agronomy, General|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Sport and Fitness Administration/Management|Systems Science and Theory|Teacher Education and Professional Development, Specific Subject Areas, Other|Teacher Education, Multiple Levels|Teaching English as a Second or Foreign Language/ESL Language Instructor|Trade and Industrial Teacher Education|Vocational Rehabilitation Counseling/Counselor|Women's Studies|Zoology/Animal Biology",695,https://logo.clearbit.com/siu.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://siu.edu/,https://siu.edu/,United States
Southwest Baptist University,"Bolivar, MO",4-year,Private,Small,Rural,42%,$19K,990-1160,"$18,926","Accounting|Accounting and Related Services, Other|Art Teacher Education|Art/Art Studies, General|Athletic Training/Trainer|Bible/Biblical Studies|Biology Teacher Education|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Chemistry Teacher Education|Chemistry, General|Clinical Laboratory Science/Medical Technology/Technologist|Commercial and Advertising Art|Computer Science|Computer and Information Sciences, General|Criminal Justice/Law Enforcement Administration|Drama and Dramatics/Theater Arts, General|Education, General|Educational Leadership and Administration, General|Elementary Education and Teaching|English Language and Literature, General|English Language and Literature/Letters, Other|English/Language Arts Teacher Education|Exercise Science and Kinesiology|Finance, General|Financial Mathematics|General Studies|Health Services/Allied Health/Health Sciences, General|Health and Medical Administrative Services, Other|History, General|Hospital and Health Care Facilities Administration/Management|Hospitality Administration/Management, General|International Business/Trade/Commerce|Junior High/Intermediate/Middle School Education and Teaching|Marketing, Other|Marketing/Marketing Management, General|Mathematics Teacher Education|Mathematics, General|Missions/Missionary Studies|Multi-/Interdisciplinary Studies, Other|Music Teacher Education|Music, General|Nursing Administration|Nursing Education|Organizational Communication, General|Physical Education Teaching and Coaching|Physical Therapy/Therapist|Physics, General|Political Science and Government, General|Psychology, General|Public Relations/Image Management|Radiologic Technology/Science - Radiographer|Registered Nursing/Registered Nurse|Religion/Religious Studies|Religious Education|Religious/Sacred Music|Science Teacher Education/General Science Teacher Education|Social Science Teacher Education|Social Work|Sociology|Spanish Language and Literature|Speech Communication and Rhetoric|Speech Teacher Education|Sport and Fitness Administration/Management|Superintendency and Educational System Administration|Theological and Ministerial Studies, Other",,https://logo.clearbit.com/www.sbuniv.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.sbuniv.edu/,https://www.sbuniv.edu/,United States
Marian University,"Indianapolis, IN",4-year,Private,Small,Suburban,64%,$23K,970-1175,,,,,,,United States
Chestnut Hill College,"Philadelphia, PA",4-year,Private,Small,Suburban,62%,$25K,890-1090,"$25,357","Accounting|Accounting and Business/Management|Adult Development and Aging|Biochemistry|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Corporate Communications, General|Chemistry, General|Child Care and Support Services Management|Clinical Child Psychology|Clinical Psychology|Clinical, Counseling and Applied Psychology, Other|Communication, General|Communication, Journalism, and Related Programs, Other|Computer and Information Sciences, General|Computer/Information Technology Services Administration and Management, Other|Counseling Psychology|Criminal Justice/Law Enforcement Administration|Cyber/Computer Forensics and Counterterrorism|Early Childhood Education and Teaching|Education, General|Education/Teaching of Individuals in Elementary Special Education Programs|Education/Teaching of Individuals in Secondary Special Education Programs|Educational Leadership and Administration, General|Educational/Instructional Technology|Elementary Education and Teaching|English Language and Literature, General|Environmental Science|Exercise Physiology and Kinesiology|Family Psychology|Forensic Chemistry|Forensic Science and Technology|Gerontology|Health/Health Care Administration/Management|History, General|Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other|Human Resources Management/Personnel Administration, General|Human Services, General|Intercultural/Multicultural and Diversity Studies|International Business/Trade/Commerce|International/Globalization Studies|Kindergarten/Preschool Education and Teaching|Legal Studies|Liberal Arts and Sciences/Liberal Studies|Marketing/Marketing Management, General|Mathematics and Computer Science|Mathematics, General|Molecular Biology|Montessori Teacher Education|Multi-/Interdisciplinary Studies, Other|Music Teacher Education|Organizational Leadership|Political Science and Government, General|Psychology, General|Reading Teacher Education|Religious Education|School Psychology|Secondary Education and Teaching|Special Education and Teaching, General|System, Networking, and LAN/WAN Management/Manager",,https://logo.clearbit.com/www.chc.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.chc.edu/,https://www.chc.edu/,United States
York College of Pennsylvania,"York, PA",4-year,Private,Medium,Suburban,64%,$21K,1030-1220,"$20,916","Accounting|Agroecology and Sustainable Agriculture|Applied Behavior Analysis|Biochemistry|Biology Teacher Education|Biology/Biological Sciences, General|Business Administration and Management, General|Business Administration, Management and Operations, Other|Business Analytics|Chemistry, General|Cinematography and Film/Video Production|City/Urban, Community, and Regional Planning|Civil Engineering, General|Clinical Laboratory Science/Medical Technology/Technologist|Computer Engineering, General|Computer Science|Computer and Information Systems Security/Auditing/Information Assurance|Criminal Justice/Law Enforcement Administration|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Education/Teaching of Individuals in Early Childhood Special Education Programs|Education/Teaching of Individuals in Junior High/Middle School Special Education Programs|Educational Leadership and Administration, General|Educational/Instructional Technology|Electrical and Electronics Engineering|Engineering, Other|English/Language Arts Teacher Education|Entrepreneurship/Entrepreneurial Studies|Environmental Science|Exercise Science and Kinesiology|Family Practice Nurse/Nursing|Finance, General|Financial Planning and Services|Fine/Studio Arts, General|Forensic Science and Technology|General Literature|General Studies|Geriatric Nurse/Nursing|Graphic Design|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|History, General|Hospitality Administration/Management, General|Human Services, General|Humanities/Humanistic Studies|Intelligence, General|International Business/Trade/Commerce|International Relations and Affairs|Junior High/Intermediate/Middle School Education and Teaching|Logistics, Materials, and Supply Chain Management|Management Information Systems, General|Management Science|Marketing, Other|Marketing/Marketing Management, General|Mass Communication/Media Studies|Mathematics Teacher Education|Mathematics, General|Mechanical Engineering|Music Management|Music Teacher Education|Music, General|Natural Products Chemistry and Pharmacognosy|Nuclear Medical Technology/Technologist|Nursing Administration|Nursing Practice|Operations Management and Supervision|Organizational Leadership|Parks, Recreation, and Leisure Studies|Philosophy|Philosophy, Other|Political Science and Government, General|Pre-Medicine/Pre-Medical Studies|Professional, Technical, Business, and Scientific Writing|Psychiatric/Mental Health Nurse/Nursing|Psychology, General|Public Finance|Public Policy Analysis|Public Relations/Image Management|Public/Applied History|Radiologic Technology/Science - Radiographer|Reading Teacher Education|Recording Arts Technology/Technician|Registered Nursing/Registered Nurse|Respiratory Care Therapy/Therapist|Risk Management|Science Teacher Education/General Science Teacher Education|Social Studies Teacher Education|Social Work|Sociology|Spanish Language Teacher Education|Spanish Language and Literature|Sport and Fitness Administration/Management|Sports Communication|Sustainability Studies|Therapeutic Recreation/Recreational Therapy",,https://logo.clearbit.com/www.ycp.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.ycp.edu/,https://www.ycp.edu/,United States
Ohio State University: Lima Campus,"Lima, OH",4-year,Public,Small,Urban,13%,$13K,1000-1170,,"Biology/Biological Sciences, General|Business/Commerce, General|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Elementary Education and Teaching|Elementary and Middle School Administration/Principalship|English Language and Literature, General|Experimental Psychology|General Studies|History, General|Junior High/Intermediate/Middle School Education and Teaching|Psychology, General|Social Work",,,,,United States
Northern Kentucky University,"Newport, KY",4-year,Public,Medium,Suburban,52%,$7K,920-1130,"$7,259","Accounting|Adult Health Nurse/Nursing|Anthropology|Architectural Engineering Technologies/Technicians|Athletic Training/Trainer|Biology/Biological Sciences, General|Broadcast Journalism|Business Administration and Management, General|Business and Innovation/Entrepreneurship Teacher Education|Business/Commerce, General|Business/Corporate Communications, General|CAD/CADD Drafting and/or Design Technology/Technician|Chemistry, General|Clinical Research Coordinator|Computer Science|Computer Software and Media Applications, Other|Computer and Information Sciences, General|Computer and Information Sciences, Other|Computer and Information Systems Security/Auditing/Information Assurance|Construction Management, General|Counselor Education/School Counseling and Guidance Services|Creative Writing|Criminal Justice/Safety Studies|Crisis/Emergency/Disaster Management|Design and Visual Communications, General|Drama and Dramatics/Theater Arts, General|Econometrics and Quantitative Economics|Education, General|Educational Leadership and Administration, General|Electrical, Electronic, and Communications Engineering Technology/Technician|Elementary Education and Teaching|Engineering Physics/Applied Physics|Engineering/Engineering-Related Technologies/Technicians, Other|English Language and Literature, General|Entrepreneurship/Entrepreneurial Studies|Environmental Science|Exercise Physiology and Kinesiology|Exercise Science and Kinesiology|Finance, General|Fine/Studio Arts, General|French Language and Literature|Geography|Geology/Earth Science, General|German Language and Literature|Health Communication|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|Health/Medical Psychology|History, General|Human Resources Development|Industrial and Organizational Psychology|Information Science/Studies|Information Technology|International Relations and Affairs|Japanese Language and Literature|Journalism|Junior High/Intermediate/Middle School Education and Teaching|Kindergarten/Preschool Education and Teaching|Law|Legal Studies|Liberal Arts and Sciences/Liberal Studies|Management Information Systems, General|Manufacturing Engineering Technology/Technician|Marketing/Marketing Management, General|Mathematics, General|Medical Informatics|Medical Radiologic Technology/Science - Radiation Therapist|Mental Health Counseling/Counselor|Mental and Social Health Services and Allied Professions, Other|Music Teacher Education|Music, General|Neuroscience|Non-Profit/Public/Organizational Management|Nursing Practice|Occupational Therapy/Therapist|Organizational Behavior Studies|Philosophy|Physical Education Teaching and Coaching|Physics, General|Political Science and Government, General|Professional, Technical, Business, and Scientific Writing|Programs for Foreign Lawyers|Psychology, General|Public Administration|Public Relations, Advertising, and Applied Communication|Public Relations/Image Management|Public/Applied History|Radiologic Technology/Science - Radiographer|Registered Nursing/Registered Nurse|Respiratory Care Therapy/Therapist|Secondary Education and Teaching|Social Sciences, General|Social Work|Social and Philosophical Foundations of Education|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Statistics, General|System, Networking, and LAN/WAN Management/Manager|Teacher Education and Professional Development, Specific Subject Areas, Other|Writing, General",445,https://logo.clearbit.com/www.nku.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.nku.edu/,https://www.nku.edu/,United States
