academics_degrees_offered,academics_majors,admissions_College Prep Courses,admissions_High School GPA,admissions_High School Rank,admissions_Recommendations,admissions_SAT/ACT Scores,college_name,costs_Average Aid Package,costs_Average Net Price,costs_Financial Aid Deadline,costs_Students Receiving Financial Aid,overview_description,scrape_success,scrape_timestamp,successful_sections,url
A,,Recommended,Required,Recommended,Recommended,Considered if submitted,Christian Brothers University,Not available,"$18,612",Not available,Not available,"Christian Brothers University is a small, 4-year, private university. This coed college is located in a large city in an urban setting and is primarily a residential campus. It offers associate, bachelor's, and master's degrees. This college has an acceptance rate of 88% and a graduation rate of 60%.",True,2025-04-15 03:20:54,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/christian-brothers-university
A,,Required,Required,Neither required nor recommended,Neither required nor recommended,Considered if submitted,California State University: Sacramento,"$15,909","$11,596",March 2,70%,"California State University: Sacramento is a very large, 4-year, public university. This coed college is located in a large city in an urban setting and is primarily a commuter campus. It offers bachelor's, master's, and doctoral degrees. This college has an acceptance rate of 94% and a graduation rate of 54%.",True,2025-04-15 03:22:37,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/california-state-university-sacramento
A,,Required,Required,Neither required nor recommended,Considered but not required,Considered if submitted,University of North Carolina at Charlotte,"$11,617","$13,951",September 30,51%,"University of North Carolina at Charlotte is a very large, 4-year, public school. This coed college is located in a large city in an urban setting and is primarily a residential campus. It offers bachelor's, certificate, master's, and doctoral degrees. This college has an acceptance rate of 80% and a graduation rate of 70%.",True,2025-04-15 03:24:18,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/university-of-north-carolina-at-charlotte
,,,,,,,Saint Peter's University,,,,,,True,2025-04-15 03:26:00,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/saint-peter-s-university
A,,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Required for some,Saint Petersburg College,"$8,061","$2,132",Not available,56%,"Saint Petersburg College is a very large, 4-year, public college of art. This coed college is located in a suburban setting and is primarily a commuter campus. It offers certificate, associate, and bachelor's degrees. This college has an acceptance rate of 100%.",True,2025-04-15 03:28:37,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/saint-petersburg-college
A,,Required,Required,Considered but not required,Considered but not required,Neither required nor recommended,University of Washington Bothell,"$15,916","$9,357",February 28,48%,"University of Washington Bothell is a medium, 4-year, public university. This coed college is located in a city in a suburban setting and is primarily a residential campus. It offers bachelor's, certificate, and master's degrees. This college has an acceptance rate of 91% and a graduation rate of 69%.",True,2025-04-15 03:30:23,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/university-of-washington-bothell
A,,Recommended,Required,Considered but not required,Considered but not required,Considered if submitted,University of Wisconsin-Whitewater,"$9,497","$13,322",Not available,48%,"University of Wisconsin-Whitewater is a large, 4-year, public university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers certificate, associate, bachelor's, master's, and doctoral degrees. This college has an acceptance rate of 94% and a graduation rate of 62%.",True,2025-04-15 03:32:05,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/university-of-wisconsin-whitewater
A,,Recommended,Required,Neither required nor recommended,Neither required nor recommended,Recommended,Concord University,"$12,468","$8,464",Not available,81%,"Concord University is a small, 4-year, public university. This coed college is located in a rural community in a rural setting and is primarily a residential campus. It offers bachelor's and master's degrees. This college has an acceptance rate of 93% and a graduation rate of 40%.",True,2025-04-15 03:33:52,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/concord-university
A,,Required,Recommended,Considered but not required,Neither required nor recommended,Required for some,University of Mississippi,"$15,661","$14,289",March 1,49%,"University of Mississippi is a very large, 4-year, public university. This coed college is located in a large town in a rural setting and is primarily a residential campus. It offers bachelor's, certificate, master's, and doctoral degrees. This college has an acceptance rate of 97% and a graduation rate of 68%.",True,2025-04-15 03:35:39,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/university-of-mississippi
A,,Required,Recommended,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,University of the Virgin Islands,Not available,"$9,478",Not available,Not available,"University of the Virgin Islands is a small, 4-year, public university. This coed college is located in a suburban setting and is primarily a commuter campus. It offers certificate, associate, bachelor's, master's, and doctoral degrees. This college has an acceptance rate of 97% and a graduation rate of 26%.",True,2025-04-15 03:37:36,overview|admissions|academics|costs|campus-life,https://bigfuture.collegeboard.org/colleges/university-of-the-virgin-islands
